upz_id,cod_localidad,localidad,n_meses,n_estaciones,flujo_medio,pct_nocturno_medio,hurto_mensual_medio,hurto_suma,violencia_mensual_media,orden_publico_mensual_medio,nuse_total_mensual_medio,tasa_loc_hurto_media,dist_cai_mediana_m,indice_nocturno_2019,rank_hurto_medio,rank_violencia_media,rank_orden_publico_medio,rank_tasa_loc_hurto
UPZ111,16.0,PUENTE ARANDA,42,1.0,493787.40476190473,0.13704663748839252,64.04761904761905,2690.0,183.35714285714286,199.0,880.1904761904761,241.78277109101643,538.5993816192456,41.01226222222223,43.0,45.0,49.0,19.0
UPZ20,11.0,SUBA,42,1.0,338482.6904761905,0.11523684746535681,60.11904761904762,2525.0,136.61904761904762,264.6190476190476,837.4761904761905,96.28928736615683,184.73148663218277,40.380222,44.0,50.0,42.0,49.0
UPZ94,17.0,CANDELARIA,42,1.0,1092753.8095238095,0.08717134826360264,56.57142857142857,2376.0,232.4047619047619,334.5,1048.1190476190477,339.8762995015189,421.88623928352666,39.16112522222223,45.0,40.0,37.0,7.0
UPZ91,3.0,SANTA FE,42,3.0,2101557.1904761903,0.12379904252658502,54.785714285714285,2301.0,153.28571428571428,220.28571428571428,795.9047619047619,327.5659301888684,370.7669494077365,40.00542611111111,46.0,48.0,46.0,13.0
UPZ116,10.0,ENGATIVÁ,42,1.0,387433.64285714284,0.13903098628771846,52.142857142857146,2190.0,137.5952380952381,171.54761904761904,719.8333333333334,149.95929637637732,653.9808115199168,43.08297155555556,47.0,49.0,51.0,24.0
UPZ25,11.0,SUBA,42,1.0,397476.9285714286,0.10954605246706597,49.04761904761905,2060.0,131.38095238095238,203.6904761904762,690.0714285714286,96.28928736615683,538.3986022356369,40.380222,48.0,51.0,48.0,49.0
UPZ115,9.0,FONTIBÓN,42,2.0,3094768.0,0.19121606476337163,36.333333333333336,1526.0,108.28571428571429,128.0,487.2857142857143,144.28849379324507,1086.5736285807106,38.790278777777786,49.0,53.0,53.0,29.0
UPZ10,1.0,USAQUÉN,42,1.0,3986292.476190476,0.18723580761169226,35.976190476190474,1511.0,169.47619047619048,197.8095238095238,676.0238095238095,113.0458825434518,177.7828067856346,41.7932881111111,50.0,47.0,50.0,43.0
UPZ56,5.0,USME,42,1.5,2614933.1428571427,0.31468366456283725,35.023809523809526,1471.0,288.2857142857143,209.9047619047619,827.9285714285714,74.74713049254686,455.0080526955313,25.858706111111115,51.0,37.0,47.0,58.0
UPZ49,7.0,BOSA,42,2.0,3567446.738095238,0.2916954711536711,33.904761904761905,1424.0,209.02380952380952,237.73809523809524,798.3095238095239,79.51803292988272,578.1853786683523,39.788368000000006,52.0,43.0,44.0,56.0
UPZ104,13.0,TEUSAQUILLO,42,4.0,1481004.0,0.12463711226447002,32.11904761904762,1349.0,69.42857142857143,96.33333333333333,404.57142857142856,338.9444586581338,926.3352254476573,42.04490588888888,53.0,56.0,56.0,8.0
UPZ109,13.0,TEUSAQUILLO,42,1.0,166531.38095238095,0.1162484625303698,29.80952380952381,1252.0,75.0,110.85714285714286,440.6666666666667,338.9444586581338,1006.215517860798,42.04490588888888,54.0,55.0,55.0,8.0
UPZ92,3.0,SANTA FE,42,1.0,604832.5476190476,0.15350534732309867,27.61904761904762,1160.0,104.78571428571429,154.26190476190476,480.07142857142856,327.5659301888684,178.94743545046038,40.00542611111111,55.0,54.0,52.0,13.0
UPZ15,1.0,USAQUÉN,42,1.0,533855.7857142857,0.13782797726253043,27.166666666666668,1141.0,68.16666666666667,113.5,395.92857142857144,113.0458825434518,621.8896281927866,41.7932881111111,56.0,57.0,54.0,43.0
UPZ83,8.0,KENNEDY,42,1.0,3921099.095238095,0.31507176408441023,27.047619047619047,1136.0,124.95238095238095,66.54761904761905,389.4047619047619,113.80934671166006,677.8064979751184,42.087377222222216,57.0,52.0,57.0,38.0
UPZ105,10.0,ENGATIVÁ,42,2.0,1032300.880952381,0.12444784447305074,20.547619047619047,863.0,47.285714285714285,47.76190476190476,238.14285714285714,149.95929637637732,478.6538201275198,43.08297155555556,58.0,58.0,58.0,24.0
