upz_id,anio,mes,n_estaciones,n_portales,flujo_total_upz,validaciones_upz,salidas_upz,dist_cai_mediana_m,n_cai_500m_media,upz_nuse_hurto,upz_nuse_violencia,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_total,loc_nuse_hurto,loc_nuse_violencia,loc_nuse_total,poblacion_localidad,loc_tasa_nuse_hurto_100k_hab,loc_tasa_nuse_violencia_100k_hab,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019,cod_localidad,localidad,pct_nocturno_pond,pct_finde_pond,pct_pico_am_pond,pct_pico_pm_pond,gini_pond,log_flujo_upz,periodo
UPZ34,2024,1,1,1,2011779.0,816517.0,1195262.0,909.926855255046,0.0,117.0,411.0,375.0,502.0,1405.0,402.0,2165.0,6513.0,394656.0,101.86086110435416,548.5790156490716,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.27344802784003613,0.2221203223614522,0.2270920414220448,0.1508818811609028,0.2352894430560372,14.514529963214533,2024-01
UPZ34,2024,2,1,1,2270705.0,997759.0,1272946.0,909.926855255046,0.0,141.0,745.0,597.0,707.0,2190.0,560.0,3171.0,8868.0,394656.0,141.89572691153813,803.4845536365848,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2825153421514463,0.1991033621716603,0.23346449670917183,0.1417942885579588,0.2295774999260405,14.635600913927096,2024-02
UPZ34,2024,3,1,1,2263554.0,1035997.0,1227557.0,909.926855255046,0.0,103.0,611.0,491.0,624.0,1829.0,483.0,3032.0,8157.0,394656.0,122.38506446120168,768.264007135328,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2727891625293675,0.3020952890896351,0.2230320107229604,0.1390432920972948,0.2120521790291482,14.632446702432427,2024-03
UPZ34,2024,4,1,1,2382115.0,1079549.0,1302566.0,909.926855255046,0.0,76.0,464.0,431.0,464.0,1435.0,292.0,2060.0,5999.0,394656.0,73.98848617530204,521.9735668531582,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2811300042189399,0.1919411951144256,0.2323405880908352,0.1444128432086612,0.23144207595105037,14.683499306489347,2024-04
UPZ34,2024,5,1,1,2286575.0,999457.0,1287118.0,909.926855255046,0.0,148.0,733.0,611.0,723.0,2215.0,478.0,3414.0,9368.0,394656.0,121.11813832806293,865.0571637071272,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2799164689546592,0.2234748477526431,0.2241715229109038,0.1488033412418136,0.2255935403861805,14.642565622766877,2024-05
UPZ34,2024,6,1,1,2064529.0,889320.0,1175209.0,909.926855255046,0.0,154.0,703.0,632.0,746.0,2235.0,522.0,3410.0,9863.0,394656.0,132.26708829968376,864.0436228006162,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2744311172185036,0.3018785398509781,0.2168780385259785,0.1487540257366208,0.2175828685943983,14.540412671194366,2024-06
UPZ34,2024,7,1,1,2085233.0,950626.0,1134607.0,909.926855255046,0.0,124.0,851.0,677.0,725.0,2377.0,446.0,3555.0,9616.0,394656.0,113.00981107597502,900.7844806616396,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2707783734479552,0.221985744518718,0.2307670174028513,0.1489756780177563,0.2372592318397819,14.550391157570926,2024-07
UPZ34,2024,8,1,1,2268416.0,977569.0,1290847.0,909.926855255046,0.0,128.0,609.0,546.0,633.0,1916.0,442.0,3037.0,8438.0,394656.0,111.99627016946404,769.5309332684667,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2793442648967385,0.2634062711601399,0.2221550191851935,0.1470127172441033,0.2226905745358429,14.634592348526866,2024-08
UPZ34,2024,9,1,1,2119814.0,909650.0,1210164.0,909.926855255046,0.0,115.0,699.0,645.0,728.0,2187.0,416.0,3150.0,9019.0,394656.0,105.40825427714265,798.1634638774021,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2774700987916864,0.2358140855754325,0.2216798266262983,0.1461949020055533,0.2233898478203919,14.566838906950125,2024-09
UPZ34,2024,10,1,1,2362489.0,1008552.0,1353937.0,909.926855255046,0.0,104.0,731.0,585.0,719.0,2139.0,437.0,3117.0,8696.0,394656.0,110.72934403632532,789.8017513986864,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2842798421495295,0.2130202510995818,0.2202672689692946,0.1470267163148696,0.2226557219001273,14.67522628225454,2024-10
UPZ34,2024,11,1,1,2156809.0,875715.0,1281094.0,909.926855255046,0.0,130.0,676.0,459.0,683.0,1948.0,451.0,2989.0,8063.0,394656.0,114.27673720911376,757.3684423903348,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2817175744351957,0.2784470020293869,0.2123855195337185,0.1480877537139357,0.2129333613655274,14.584140372540084,2024-11
UPZ34,2024,12,1,1,2235687.0,870966.0,1364721.0,909.926855255046,0.0,115.0,878.0,745.0,835.0,2573.0,385.0,3970.0,10576.0,394656.0,97.55331225168248,1005.9393497121544,5030.0,1833.0,37234.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2887331723984618,0.2617244721644846,0.1947562427119717,0.1463939272357892,0.1889853077020051,14.620059121347804,2024-12
UPZ34,2025,1,1,1,1985243.0,782714.0,1202529.0,909.926855255046,0.0,95.0,540.0,559.0,566.0,1760.0,385.0,2516.0,7715.0,394686.0,97.54589724489848,637.4687726445833,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2700893543007078,0.22995018745816,0.20714592621658906,0.1573777114438887,0.2257148928909991,14.50125188274696,2025-01
UPZ34,2025,2,1,1,2060750.0,813759.0,1246991.0,909.926855255046,0.0,107.0,612.0,563.0,574.0,1856.0,435.0,2723.0,7751.0,394686.0,110.2141955883918,689.9155277866456,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2787562780541065,0.2135135266286546,0.2149785272352299,0.1511124590561688,0.2245172997681171,14.538580552175475,2025-02
UPZ34,2025,3,1,1,2175073.0,822877.0,1352196.0,909.926855255046,0.0,152.0,865.0,688.0,731.0,2436.0,466.0,3512.0,9515.0,394686.0,118.06854056135762,889.82127564697,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2754744323523854,0.2679358347972688,0.2050800134064465,0.1535024341711749,0.2156453319764086,14.59257278516008,2025-03
UPZ34,2025,4,1,1,2074430.0,787962.0,1286468.0,909.926855255046,0.0,101.0,655.0,628.0,638.0,2022.0,377.0,2967.0,8607.0,394686.0,95.51896950993954,751.7368237028929,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2756246294162733,0.2390242138804394,0.2040030273376301,0.1532946399733902,0.2150148077314284,14.54519697511513,2025-04
UPZ34,2025,5,1,1,2135920.0,812331.0,1323589.0,909.926855255046,0.0,111.0,713.0,879.0,837.0,2540.0,417.0,3318.0,9515.0,394686.0,105.6536081847342,840.6682780742159,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2737831941271209,0.251008464736507,0.2093716056781152,0.1511081875725682,0.2096130095848684,14.574408025177314,2025-05
UPZ34,2025,6,1,1,1903164.0,646062.0,1257102.0,909.926855255046,0.0,132.0,716.0,804.0,645.0,2297.0,428.0,3154.0,9007.0,394686.0,108.44063382030272,799.1162595075579,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2758868915132905,0.2970879020410222,0.19568886338749567,0.16048695750865397,0.2268762762955733,14.459028322281265,2025-06
UPZ34,2025,7,1,1,2194893.0,806999.0,1387894.0,909.926855255046,0.0,158.0,740.0,727.0,773.0,2398.0,550.0,3042.0,8999.0,394686.0,139.3512817784264,770.7392712181329,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2749528109115114,0.197113481158307,0.2056610504475617,0.1642471865371113,0.2342642452286036,14.601643856150607,2025-07
UPZ34,2025,8,1,1,2151541.0,810445.0,1341096.0,909.926855255046,0.0,141.0,651.0,782.0,792.0,2366.0,494.0,3445.0,9969.0,394686.0,125.16278763371388,872.8457558666889,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.270890027194462,0.2854135710172383,0.2077645743213817,0.1549401103674064,0.2171663742556564,14.581694887551448,2025-08
UPZ34,2025,9,1,1,2303728.0,931521.0,1372207.0,909.926855255046,0.0,142.0,754.0,770.0,772.0,2438.0,513.0,3334.0,9725.0,394686.0,129.97674100424135,844.7221335441337,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2743066889841162,0.1948281220699665,0.2233992033781766,0.1539409166359917,0.23080143077524098,14.650039238273258,2025-09
UPZ34,2025,10,1,1,2458161.0,1069041.0,1389120.0,909.926855255046,0.0,137.0,658.0,686.0,830.0,2311.0,522.0,3116.0,9391.0,394686.0,132.25703470607016,789.488352766503,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2782421493140604,0.2036559037426759,0.23346558667231312,0.1455767136489432,0.2325395596032443,14.714924067369894,2025-10
UPZ34,2025,11,1,1,2359327.0,1022944.0,1336383.0,909.926855255046,0.0,100.0,739.0,860.0,843.0,2542.0,447.0,3372.0,9907.0,394686.0,113.25458719083018,854.3500402851888,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.277031119467543,0.2995099873819949,0.2246848359722921,0.139940754291372,0.2154535434235205,14.673886966841716,2025-11
UPZ34,2025,12,1,1,1109514.0,1109514.0,0.0,909.926855255046,0.0,107.0,847.0,914.0,922.0,2790.0,370.0,3685.0,10540.0,394686.0,93.74540774185049,933.6535879154568,5580.0,1964.0,39259.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2010294597454381,0.2333391016246753,0.38786982408514,0.0512801100301573,0.4669280299751889,13.919432639571706,2025-12
UPZ34,2026,1,1,1,2139880.0,967391.0,1172489.0,909.926855255046,0.0,101.0,603.0,692.0,744.0,2140.0,361.0,2902.0,8776.0,393880.0,91.65227988219762,736.7726211028739,5666.0,1873.0,43270.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2673243359440716,0.2581331663457764,0.2180411985718825,0.1464661569807653,0.2137724503224417,14.57626031065943,2026-01
UPZ34,2026,2,1,1,2314960.0,1056782.0,1258178.0,909.926855255046,0.0,102.0,661.0,607.0,759.0,2129.0,361.0,2872.0,8421.0,393880.0,91.65227988219762,729.1560881486747,5666.0,1873.0,43270.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2738194180461001,0.2064696582230362,0.2281953035905588,0.1449584442063793,0.2271250115269172,14.654902966735484,2026-02
UPZ34,2026,3,1,1,2466684.0,1120202.0,1346482.0,909.926855255046,0.0,127.0,769.0,720.0,888.0,2504.0,457.0,3553.0,10272.0,393880.0,116.0251853356352,902.0513862089977,5666.0,1873.0,43270.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.270827961749458,0.2271361066111427,0.2251913905469853,0.1448608739506154,0.2246156387974057,14.718385296508625,2026-03
UPZ34,2026,4,1,1,2287419.0,993942.0,1293477.0,909.926855255046,0.0,113.0,567.0,776.0,693.0,2149.0,439.0,3075.0,9238.0,393880.0,111.45526556311567,780.6946278054229,5666.0,1873.0,43270.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2742571430944658,0.2240039975186006,0.2235318496523811,0.1462045213404278,0.2214708745118507,14.642934665668804,2026-04
UPZ34,2026,5,1,1,2314869.0,1071403.0,1243466.0,909.926855255046,0.0,129.0,693.0,894.0,764.0,2480.0,424.0,3043.0,9310.0,393880.0,107.64699908601604,772.5703259876104,5666.0,1873.0,43270.0,39.46668344444444,4.0,SAN CRISTÓBAL,0.2738984365853964,0.2803074385634781,0.2278016596187516,0.1385888359125289,0.2200546567830318,14.654863656428338,2026-05
