No. ;Dependencia ;Norma, función o proceso;; Código del Procedimiento;" Código del
 Formato";"(Tipo documental)
Nombre del registro o documento de archivo";"(Tipo documental)
Definición";"(Tipo documental)
Idioma ";Análogo;Digital;Electrónico;Descripción del Soporte;Presentación de la información (formato);"(Tipo de origen) 
Interno";"(Tipo deorigen)
Externo";Serie; Subserie;Descripción de la categoría de información ;Pública;Clasificada;Reservada ;Custodio de la información ;Estado de la información ;Localización del documento o del activo de información ;
65;Subgerencia Técncia y de Servicios ;Parámetros para el Diseño de Infraestructura;;P-ST-005 ;N/A;Plan;Documento técnico elaborado por TRANSMILENIO S.A., en el que se plantea la hoja de ruta al mediano y largo plazo para el Sistema TransMilenio en el año 2010;Español ;X;X;;Papel;PDF;X;;PLANES ;Planes Marco ;El Plan Marco involucra la planeación y estructuración de los parámetros del diseño de las vías, las estaciones, los patios, paraderos de alimentación, señalización y demás elementos de infraestructura que intervienen en la operación del Sistema TransMilenio. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
66;Subgerencia Técncia y de Servicios ;"Parámetros para el Diseño de Infraestructura
Implementación de las rutas del componente zonal del sistema Integrado de Transporte Público";;"P-ST-005 
P-ST-007";N/A ;Proyectos ;Documento con el proyecto de infraestructura, el cual sera diseñado y construido mediante el Convenio 20 de 2001. ;Español ;X;X;;Papel;PDF;X;;PROYECTOS ;Proyectos de Infraestructura;Los Proyectos de infraestructura contienen la planeación y estructuración de los parámetros del diseño de las vías, las estaciones, los patios, paraderos de alimentación, señalización y demás elementos de infraestructura que intervienen en la operación del Sistema TransMilenio en zonas específicas de la ciudad o vías específicas. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Subgerencia Técnica y de Servicios ;
67;Subgerencia Técncia y de Servicios ;"Procedimiento proyecto de Kilómetros Eficientes Troncal  

Procedimiento mejora los niveles de servicio de las rutas del componente zonal del Sistema ";;"T-ST-001 
T-ST-002 ";N/A;Informe de Ejecución de Proyecto;Documento que contiene el avance de ejecución del proyecto. ;Español ;X;X;;Papel;power point / word / pdf;X;;PROYECTOS ;Proyectos de Kilometros Eficientes;Los Proyectos de Kilómetros Eficientes buscan canalizar todas las propuestas recibidas por parte de los concesionarios, la comunidad y el Ente Gestor, en orden a realizar todos los estudios referentes a temas de cobertura, indicadores técnicos y operacionales, viabilidades económicas, situaciones con comunidades, estudios de seguridad operacional e implicaciones directas sobre la infraestructura del componente zonal (paraderos) y troncal y proponer estrategias de rediseño del servicio según se requiera.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Subgerencia Técnica y de Servicios ;
68;Sungerencia de Atención al Usuario y Comunicaciones ;Manual de Gestión Social;;M-SC-001-3 ;R-OP-004 ;Acta;Es el documento que contiene los eventos de las actividades: Apoyo a Grupos de interés, Atención a Bloqueos, Marchas y/o Contingencias, SAT, Audiencias Públicas, Comité de Gestión Social, Divulgación, Eventos Locales, Mesa de Trabajo, Pedagogía, Reunión, Recorrido, otros.  ;Español ;X;;;Papel;WORD/PDF ;;X;ACTAS;Actas de Actividades Gestión Social;Las Actas de Actividades Gestión Social  son el resultado de establecer espacios de participación ciudadana a través de la convocatoria efectiva de comunidades, organizaciones sociales y referentes comunales, además de la interlocución con las Entidades Distritales que tienen asentamiento en las diferentes localidades, realizando mesas de trabajo y reuniones estratégicas con la participación de otras entidades.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
69;Sungerencia de Atención al Usuario y Comunicaciones ;N/A;;N/A;N/A;Boletín de Prensa ;Información de interes para la ciudadanía en general;Español ;;;X;lista de difusión (whatsApp);SERVERFILE;;X;BOLETINES ;Boletines de Prensa ;Los Boletines de Prensa y Monitoreo ser realizan con el fin de transmitir a la ciudadanía del Distrito Capital información relacionada con la implementación y operación del Sistema Integrado de Transporte Público y demás proyectos de impacto de TRANSMILENIO S.A., para generar conocimiento, apropiación y pertenencia hacia los componentes del sistema.;X;;;Subgerencia de Atención al Usuario y Comunicaciones ;Disponible ;Archivo de Subgerencia de Atención al Usuario y Comunicaciones ;
70;Sungerencia de Atención al Usuario y Comunicaciones ;Reglamentar el proceso que debe surtir la atención de un derecho de petición, una queja, un reclamo, una solicitud de información y/o una sugerencia presentados en TRANSMILENIO S.A. con relación al servicio prestado.;;P-SC-001;N/A;Comunicación oficial Recibida;Respuesta al requerimiento deacuerdo a los lineamientos de radicación de correspondencia establecidos en el Manual de Gestión Documental. ;Español ;X;X;X;Papel/Correo Electrónico/ Herramientas Web (SDQS-MONITOR);WORD/PDF /MSG;X;;PETICIONES, QUEJAS, RECLAMOS Y SUGERENCIAS    ;;Las PETICIONES, QUEJAS, RECLAMOS Y SUGERENCIAS son interpuestas por los usuarios, consisten en quejas, reclamos, solicitudes de información, consultas, sugerencias, felicitaciones, denuncias por corrupción, que puedan afectar sus intereses o los de la comunidad, con el objeto de qué la Empresa emita una respuesta oportuna, o de inicio a una actuación administrativa según sea el caso. Los canales de recepción son virtuales por medio del sistema SDQS, presenciales, y por vía telefónica.;;X;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
71;Sungerencia de Atención al Usuario y Comunicaciones ;Establecer los lineamientos para garantizar una comunicación eficiente, eficaz y efectiva de TRANSMILENIO S.A.;;T-SC-003;N/A;Plan;Es un instrumento que engloba el programa comunicativo empresarial (a corto, mediano y largo plazo), que recoge metas, estrategias, públicos objetivos, mensajes básicos, acciones, cronogramas, presupuestos y medios de evaluación.;Español ;X;;;Papel;TEXTO;X;;PLANES ;Planes de Comunicaciones;El Plan de comunicaciones es un instrumento que engloba el programa comunicativo empresarial (a corto, mediano y largo plazo), que recoge metas, estrategias, públicos objetivos, mensajes básicos, acciones, cronogramas, presupuestos y medios de evaluación.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
72;Sungerencia de Atención al Usuario y Comunicaciones ;N/A;;N/A;;Publicaciones ;Información al usuario a través de la página web institucional www.transmilenio.gov.co;Español ;;;X;PÁGINA WEB ;;X;;PUBLICACIONES;;Las PUBLICACIONES recogen la divulgación de información institucional pertinente para los usuarios acerca del uso del sistema de transporte masivo, a través de la edición, publicación y distribución de publicaciones seriadas, libros o folletos, cuyos temas comprenden el desarrollo de nuevas obras de infraestructura en el sistema, innovaciones en l flota de buses, característica del servicio de nuevas fases y zonas de la ciudad que alcanza el sistema, entre otros.;X;;;Subgerencia de Atención al Usuario y Comunicaciones ;Disponible ;www.transmilenio.gov.co;
73;Subgerencia de Desarrollo de Negocios ;"Resolución No. 461 del 15 de Julio de 2015 ""Por medio de la cual se actualizan las disposiciones relacionadas con la creación, composición y funcionamiento del Comité Comercial de la Empresa de Transporte del Tercer Milenio  - TRANSMILENIO S.A."" ";;N/A ;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité.;Español;X;X;;Papel;PDF ;X;;ACTAS ;Actas de Comité Comercial    ;Las  Actas de Comité Comercial contienen todas las decisiones tomadas por este órgano asesor y de apoyo en la definición de estrategias y líneas de acción en materia comercial, reflejan el análisis y discusión de las iniciativas y proyectos en materia comercial y de mercadeo de la Empresa. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
74;Subgerencia de Desarrollo de Negocios ;"ACUERDO Nº 07 DE 2017 (noviembre 09 de 2017) Junta Directiva. ""Por el cual se modifica la estructura organizacional y las funciones de unas dependencias de la Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A."" 

Art. 17º. Subgerencia de Desarrollo de Negocios. Funciones:
1. Formular y orientar estrategias y proyectos para el desarrollo de modelos de explotación comercial del Sistema y negocios colaterales, en coordinación con los ámbitos de la Gerencia de Integración y de la Dirección y Control de la Operación.
7.  Diseñar estrategias para el reconocimiento y favorabilidad nacional e internacional de la Empresa y sus marcas.";;N/A ;N/A ;Autorización;Firma de un convenio, o cruce de cartas de propuesta y otro de aceptación o de autorización por parte de TRANSMILENIO S.A., en las que se especifican las condiciones de la negociación. ;Español;X;X;;Papel;PDF ;X;;AUTORIZACIONES DE NEGOCIOS COLATERALES ;Autorizaciones de Arrendamiento de Especio en Infraestructura y Buses ;Las  Autorizaciones de Publicidad en Infraestructura  contienen la solicitud de autorización de cualquier organización comercial o persona jurídica para alquilar espacios publicitarios en calidad de arrendamiento con descripción de formato, cantidad, ubicación, artes y periodo de exhibición y la respuesta de la Subgerencia de Desarrollo de Negocios luego de efectuar la debida evaluación, de acuerdo a los criterios de disponibilidad de espacios, valor, entre otros.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
75;Subgerencia de Desarrollo de Negocios ;Resolución 393 de 2015, por medio de la cual se adoptan las políticas de la explotación colateral del Sistema ;;N/A ;N/A ;Autorización;Firma de un convenio, o cruce de cartas de propuesta y otro de aceptación o de autorización por parte de TRANSMILENIO S.A., en las que se especifican las condiciones de la negociación. ;Español;X;X;;Papel;PDF ;X;;AUTORIZACIONES DE NEGOCIO COLATERAL;Autorizaciones de Publicidad en Buses;Las Autorizaciones de Publicidad en Buses se sustentan bajo Actas de Acuerdos Temporales derivados de unas cláusulas de los contratos de Concesión de Operación Troncal y Zonal. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
76;Subgerencia de Desarrollo de Negocios ;Resolución 393 de 2015, por medio de la cual se adoptan las políticas de la explotación colateral del Sistema ;;P-SN-002;N/A ;Autorización;Firma de un convenio, o cruce de cartas de propuesta y otro de aceptación o de autorización por parte de TRANSMILENIO S.A., en las que se especifican las condiciones de la negociación. ;Español;X;X;;Papel;PDF ;X;;AUTORIZACIONES DE NEGOCIO COLATERAL;Autorizaciones de Publicidad en Infraestructura;Las  Autorizaciones de Publicidad en Infraestructura  contienen la solicitud de autorización de cualquier organización comercial o persona jurídica para alquilar espacios publicitarios en calidad de arrendamiento con descripción de formato, cantidad, ubicación, artes y periodo de exhibición y la respuesta de la Subgerencia de Desarrollo de Negocios luego de efectuar la debida evaluación, de acuerdo a los criterios de disponibilidad de espacios, valor, entre otros.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
77;Subgerencia de Desarrollo de Negocios ;Procedimiento acuerdos de uso de marca;;P-SN-001;N/A ;Autorización;Firma de un convenio, o cruce de cartas de propuesta y otro de aceptación o de autorización por parte de TRANSMILENIO S.A., en las que se especifican las condiciones de la negociación. ;Español;X;X;;Papel / Correo electrónico;PDF ;X;;AUTORIZACIONES DE NEGOCIO COLATERAL;Autorizaciones de uso de la Marca;Las Autorizaciones de uso de la Marca contienen la solicitud de autorización de uso de la marca o marcas de propiedad de TRANSMILENIO S.A. las condiciones del uso y las tarifas, la respectiva respuesta de la Subgerencia de Desarrollo de Negocios de aceptación o rechazo y la respectiva factura si es el caso.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
78;Subgerencia de Desarrollo de Negocios ;Procedimiento cursos de Capacitación;;P-SN-005 ;N/A;Agenda ;Realizar el seguimiento de obligaciones adquiridas y compromisos de TRANSMILENIO S.A. y del cliente.;Español / Inglés;X;;;Papel / Correo electrónico;;X;;EVENTOS INSTITUCIONALES ;Eventos Técnicos Especializados ;Esta subserie documenta los pasos a seguir para la prestación del servicio de educación continua en temas relacionados con el transporte público de pasajeros y afines, dirigidos al sector público y privado.  ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
79;Subgerencia de Desarrollo de Negocios ;"Resolución No. 00486 del 15 de Enero de 1999 de la Superintendencia de Industria y Comercio ""Por la cual se concede un registro"". Expediente No. 980416400000. ARTICULO PRIMERO: Conceder el registro de una marca normativa TRANSMILENIO. ";;N/A ;N/A;Registros ;"Documento que evidencia el Acto administrativo donde se realiza el registro de la marca ""TransMilenio"". ";Español;X;;;Papel;Texto ;;X;REGISTRO DE MARCA TRANSMILENIO;;Recoge la información del trámite realizado ante la Superintendencia de Industria y Comercio de las marcas registradas de Transmilenio S.A. el Registro de Marca determina la identidad gráfica, física y operativa de sus productos y servicios. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
80;Subgerencia Juridica ;"Resolución No. 086 de 2002 por la cual se modifica la Resolución No. 066 de 2002 de Transmilenio S.A. por medio del cual se establece el Comité de Conciliación. Decreto Distrital 690 de 2009, por el cual se dictan lineamientos sobre la conciliación y los Comités de Conciliación en Bogotá, D.C.
ACUERDO Nº 07 DE 2017 (noviembre 09 de 2017) Junta Directiva. ""Por el cual se modifica la estructura organizacional y las funciones de unas dependencias de la Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A.""
Artículo Décimo Sexto. Subgerencia Jurídica. Funciones literal 11. ";;N/A;N/A;Acta ;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de conciliación ;Español ;X;X;X;Papel ;WORD/PDF ;X;;ACTAS ;Actas de Conciliación ;Conjunto de Actas de la instancia administrativa que actúa como estudio, análisis y formulación de políticas sobre prevención del daño antijurídico y defensa de los intereses de la entidad.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
81;Subgerencia Juridica ;"ACUERDO Nº 07 DE 2017 (noviembre 09 de 2017) Junta Directiva. ""Por el cual se modifica la estructura organizacional y las funciones de unas dependencias de la Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A."" ARTÍCULO  DÉCIMO SEXTO: Subgerencia Jurídica, Literal 10. Orientar la definición y atención de los asuntos jurídicos y legales de la Empresa y expedir conceptos en concordancia con la normatividad vigente. ";;N/A;N/A;Concepto ;Documento que contiene una apreciacion o recomendación juridica . ;Español ;X;X;X;Papel ;WORD/PDF ;X;;CONCEPTOS;Conceptos Juridicos ;Conjunto de documentos  que contienen csobre un tema de carácter particular o general, a la que se llega después de un análisis de los hechos y de la normatividad, jurisprudencia y doctrina vigentes y aplicables al tema en estudio;;;;;;;
82;Subgerencia Juridica ;Manual de Contratacion ;;M-DA-013;N/A;Contrato;Documento que evidencia el acuerdo entre dos o más partes y definen obligaciones a las partes que lo suscriben. ;Español ;X;X;X;Papel/secop II;WORD/PDF ;X;;CONTRATOS DE CONCESIÓN ;;"Documenta el proceso mediante el cual Transmilenio S.A. se encarga de seleccionar a la empresa privada mejor calificada para celebrar el contrato de forma que favorezca a los intereses públicos. Dichas condiciones tienen que ver fundamentalmente con condiciones técnicas y económicas que satisfagan los requerimientos de transporte masivo público para la ciudad de Bogotá según zonas de operación. Documenta un procedimiento formal y competitivo de adquisiciones, mediante el cual se solicitan, reciben y evalúan ofertas para la adquisición de bienes, obras o servicios y se adjudica el contrato correspondiente al oferente que ofrezca la propuesta más conveniente, de lo que se siguen las denominadas fases del contrato, pre-contractual; contractual, de la ejecución del contrato como tal y pos-contractual posterior a su terminación..";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
83;Subgerencia Juridica ; Trámite de Conciliaciones y Mecanismos Alternos de Solución de Conflictos ;;P-SJ-002;N/A ;Expediente de solución de conflictos ;Expediente del proceso donde reposan los documentos resulatantes de las actuaciones de  Transmilenio S.A. una vez se encarga de los procesos de conciliación. ;Español ;X;X;X;Papel;PDF;;X;PROCESOS ;Mecanismos Alternativos de Solución de Conflictos (MASC)   ;Subserie documental donde se organizan los distintos expedientes de  solucion de conflictos  los cuales estan compuestos  por la solicitud de la parte interesada en conciliar, donde expone su intención de conciliar y sus condiciones para ser analizadas y estudiadas por la contraparte, el acta de conciliación propiamente dicha en la cual van los acuerdos a que se ha llegado en la conciliación, las comunicaciones oficiales que se requirieron, la sentencia en que ordena el cumplimiento donde va explícita la orden impartida por la autoridad competente, para que se cumpla lo decidido sobre un asunto y finalmente el acuerdo de cumplimiento.;X;X;La conciliaicón extrajudicial  tiene reserva;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
84;Subgerencia Juridica ;Ley 1564 de  2012;;N/A ;N/A ;Actuaciones de Órganos de Control y Vigilancia (Según el caso)  ;Expediente del proceso donde reposan los documentos resulatantes de las actuaciones de  Transmilenio S.A. una vez se encarga de los procesos de conciliación. ;Español ;X;X;;Papel;PDF;;X;PROCESOS ;Procesos de actuaciones administrativas  ;Subserie documental que agrupa expedientes de actuaciones  en cuyos soportes consta decisiones formuladas en desarrollo de la función de control y vigilancia correspondiente a los órganos de control (Procuraduría General de la Nación, Contraloría General de la República, Fiscalía General de la Nación, Personería, Superintendencias, etc.).;;X;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
85;Subgerencia Juridica ;Ley 1564 de  2029;;N/A ;N/A ;"Denuncia, querella, actuación de oficio, prueba de ""noticia crimines"", petición, querella, informe o solicitud de autoridad o particular (Según los medios por el cual puede iniciarse la actividad de la justicia penal).  ";Expediente que complila documentos mediante el cual la Entidad pone en conocimiento de la Autoridad Penal (Policía o Fisclía), la ocurrencia de un Hecho Punible (Contravención o Delito).;Español ;X;;;Papel;;X;;PROCESOS ;Procesos Penales    ;Conjunto de documentos  del proceso  mediante el cual Transmilenio S.A. allega toda la información ante la Fiscalía General de La Nación para que realice la acción penal que comprende la investigación de los hechos que revistan las características de un delito, este podrá ser de oficio o que congreguen a su conocimiento por medio de denuncia, petición especial o querella. La noticia criminal inicia el proceso, este se divide en tres etapas: la primera es la indagación, la segunda la investigación y por último la de juzgamiento.;;;La información tiene reserva hasta que se apertura la etapa de juicio.;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
86;Dirección Técnica de Buses ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;P-DB-002;N/A;Registro de bitácora;Es la base de datos de la aplicación del GESTSAE, en la cual se lleva la totalidad de los registros de los acontecimientos diarios de la operación del Sistema Integrado de Transporte Público - SUIP.;Español ;;;X;GESTSAE/T-DOC;PDF/HOJA DE CALCULO/CSV;X;;BITACORAS;Bitácoras de Operación;Las Bitácoras de Operación documentan toda novedad reportada por los usuarios, la policía, o el personal de TRANSMILENIO S.A., personal de interventoría, contratistas  y personal de los concesionarios  al Centro de Control Maestro o Centro de Control Zonal, el registro se lleva a cabo en el GESTSAE Gestión del Sistema de Ayuda a la Explotación: aplicación Web diseñada para realizar la bitácora del SAEOPERADOR, la cual, es la base de datos para registrar todas las situaciones que se originan en el transcurso de la operación del Sistema Integrado de Transporte Público. Mediante su uso se puede consultar todas las novedades operacionales que se generan en el transcurso de la operación. Los datos que se deben diligenciar como mínimo en la nota son: fecha, tipo, subtipo, subsubtipo, empresa, línea, No. SAE Vehículo, No. SAE conductor, observaciones y/o descripción.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
87;Dirección Técnica de Buses ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;P-DB-010 ;N/A;Reporte de novedad;Mensaje que evidencia la novedad y se informa la afectación de las rutas Zonales al Director Técnico de Buses. ;Español ;;;X;Mensajería Instantanea/Radio Telefono;Mensajería Instantanea/Radio Telefono;X;;BITACORAS;Informes de Atención a Contingencias;"Los Informes de Atención de Contingencias documentan hechos fortuitos que pueden afectar de manera negativa la operación sistema, en primer lugar toda contingencia  es reportada al Centro de Control del Ente Gestor. Se toman las acciones enfocadas no solo en la solución del suceso, sino también en la continuidad y normalización del servicio
Toda contingencia se registra  en el GestSAE. Incluyen situaciones como: bloqueos de portales y estaciones por parte de usuarios del sistema, personas lesionadas, incendios, terrorismo, o inundaciones.
";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Dirección Técnica de Buses;
88;Dirección Técnica de Buses ;"Resolución No. 347 del 16 de junio de 2015 ""Por medio de la cual se adopta el reglamento de operación en el marco del Decreto 190 de 2015, por el cual se definen los lineamientos para la finalización de la etapa de transición del transporte público colectivo al SITP, establecida mediante Decreto 156 de 2011 y se dictan otras disposiciones"". ";;N/A;N/A;Informe;Documento que contiene el informe elaborado por la Dirección Técnica de Buses, donde  presentan resultados de la supervisión a la operación del SITP Provisional . ;Español ;X;X;;Papel;WORD / IMAGEN / PDF;X;;BITACORAS;Informes de SITP Provisional ;"La empresas prestadoreas de servicio SITP provisional, deberán suministrar toda la información requerida por TRANSMILENIO S.A., dentro del desarrollo de la operación diaria de forma oportuna teniendo en cuenta el esquema operativo estipulado. 
Asi mismo, cualquier tipo de novedad presentada en la operación con un vehículo y/o conductor y/o peatón y/o infraestructura deberá ser informada a TRANSMILENIO S.A. a traves de los mecanismos de comunicación que se  establezcan. 
Las empresas deberan registrar todas las novedades presentadas durante la operación y fuera de ella a TRANSMILENIO S.A. mensualmente o cuando éste lo requiera. ";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Dirección Técnica de Buses;
89;Dirección de Modos Alternativos y Equipamientos Complementarios  ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;N/A ;N/A ;informe ;Documento que contiene la información, análisis y concepto ambiental solicitado o los lineamientos ambientales solicitados para el proyecto.;Español ;;;;Papel;WORD/PDF;X;;INFORMES ;Informes técnicos ambientales ;Documentos relacionados con la aplicación, competencia, pertinencia o aclaración del marco normativo ambiental o  de conceptos jurídicos relacionados con asuntos, situaciones o temáticas ambientales solicitados por ciudadanos individuales o personas jurídicas con respecto a la infraestructura de Transmilenio S.A. que se ve afectada o afecta el entorno urbano.;Cuando así la Entidad lo considere;Cuando así la Entidad lo considere;Dirección Administrativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Centralizado Dirección Administrativa;;Dirección Técnica de Modos Alternativos y Equipamientos Complementarios 
90;Dirección de Modos Alternativos y Equipamientos Complementarios  ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;N/A ;N/A ;Estudio;Documento escrito presentado por una entidad externa que contiene una propuesta de estudio para revisar la posibilidad inicialmente de una prueba piloto o un contrato según corresponda.;Español ;x;x;;papel;WORD/PDF;;x;ESTUDIOS;Estudios Integrales en la Infraestructura;Evidencia de la generación de estudios de interconectividad, accesibilidad, intermodalidad, ambientales y otros en los sistemas a cargo de la Entidad. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
91;Dirección de Modos Alternativos y Equipamientos Complementarios  ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;N/A;N/A;Informe;Información generada por un tercero sobre la infraestructura del Sistema BRT.;Español ;X;;;Papel;Papel;X;;INFORMES ;Informes de estado de la Infraestructura Sistema BRT ;Los Informes de estado de la Infraestructura Sistema BRT documentan la gestión y seguimiento pertinente del mantenimiento de la infraestructura por donde circulan los Buses de Tránsito Rápido – BRT, es decir los articulados, que incluyen puentes peatonales, mobiliario urbano, vías, señalización, en estaciones, patios y portales.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
92;Dirección de Modos Alternativos y Equipamientos Complementarios  ;" Procedimiento para la retribución al operador del Sistema Transmicable 
";;P-DM-010;N/A;Informe ;Documento enviado por el tercero interesado de adelantar una prueba piloto de productos, bienes y/o servicios en la infraestructura de los sistemas de transporte a cargo de la Entidad que contiene información técnica, cronogramas, responsables, duración, etc.;Español ;X;X;X;Papel/Correo Electrónico;WORD/PDF;;X;INFORMES ;Informes Pruebas Piloto en Infraestructura;Los Pruebas Piloto en Infraestructura involucran la evaluación de productos o servicios realizadas en la infraestructura de los sistemas de transporte a cargo de la empresa, para soportar posibles modificaciones o adecuaciones de la infraestructura, incorporación de nuevas tecnologías, entre otras, con el fin de mejorar la disponibilidad física de la infraestructura para la prestación del servicio de transporte y conexos.  ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
93;Dirección de Modos Alternativos y Equipamientos Complementarios  ;N/A;;N/A;N/A;Informe ;Documento que contiene información de seguimiento al trámite ambiental a cargo de la Entidad.;Español ;X;X;;Papel/soporte digital;WORD/PDF;X;;INFORMES ;Informes Gestión Ambiental en la Infraestructura;Los Informes Gestión Ambiental en la Infraestructura dan cuenta de trámites ambientales de gestión interinstitucional a cargo de la Entidad, relacionados con implementación y manejo de coberturas vegetales y zonas verdes en la infraestructura del Sistema, trámites de publicidad exterior visual, mejoramiento de la calidad del aire, entre otros.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
94;Dirección Tecnica de Seguridad ;"Resolución No. 491 del 15 de Septiembre de 2017 ""Por medio de la cual se actualiza el reglamento de la seguridad del Sistema de Transporte Público Gestionado por Transmilenio S.A.";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Seguridad Física y Anti-evasión.;Español ;X;X;;Papel;PDF;X;;ACTAS;Actas de Comité de Seguridad Física y Anti-evasión del Sistema;"Las Actas del Comité de Seguridad Física y Anti-evasión  documentan las deliberaciones, decisiones y compromisos de los miembros del Comité en torno a la valoración periódica de estrategias de seguridad física y anti evasión con el fin de que sean adecuadas para afrontar las amenazas; la recomendación de ajustes requeridos al Plan Integral de Seguridad del Sistema de Transporte Público Gestionado por Transmilenio S.A, y de realizar el seguimiento de las tareas encomendadas por el Comité.";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
