No. ;Dependencia ;Norma, función o proceso;; Código del Procedimiento;" Código del
 Formato";"(Tipo documental)
Nombre del registro o documento de archivo";"(Tipo documental)
Definición";"(Tipo documental)
Idioma ";Análogo;Digital;Electrónico;Descripción del Soporte;Presentación de la información (formato);"(Tipo de origen) 
Interno";"(Tipo deorigen)
Externo";Serie; Subserie;Descripción de la categoría de información ;Pública;Clasificada;Reservada ;Custodio de la información ;Estado de la información ;Localización del documento o del activo de información ;
21;Dirección Corporativa ;"Resolución No. 178 del 19 de Diciembre de 2001 ""Por medio de la cual se crea y conforma el Comité de Inventarios de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO  - TRANSMILENIO S.A."" ";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Inventarios. ;Español ;X;;;Papel;N/A;X;;ACTAS;Actas de Comité de Inventarios    ;Las Actas del Comité de Inventarios registran las decisiones de sus miembros relacionadas con el destino final de los bienes declarados inservibles o no utilizables en la entidad y formular conceptos sobre los resultados arrojados por los avalúos técnicos en materia de reclasificación de bienes o catálogo de elementos.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
22;Dirección Corporativa ;"Resolución No. 723 del 01 de Diciembre de 2015 ""Por medio de la cual se crea el Comité de Seguridad Vial en TRANSMILENIO S.A. y se definen criterios para su conformación y funcionamiento""";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Seguridad Vial.;Español ;X;;;Papel;N/A;X;;ACTAS;Actas de Comité de Seguridad Vial;Las Actas de Comité de Seguridad Vial registran las decisiones de este organismo consultor en torno al planteamiento, diseño, implementación y medición  de las acciones que permitan generar conciencia entre los funcionarios a favor de la seguridad vial en la Entidad. Y establecer estrategias, líneas de acción y metas a cumplir en el Plan Estratégico de Seguridad Vial (PESV).;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
23;Dirección Corporativa ;Ley 1562 de 2012 Por la cual se modifica el Sistema de Riesgos Laborales y se dictan otras disposiciones en materia de Salud Ocupacional;;N/A;R-OP-004 ;Acta;Documento que contiene los temas tratados, decisiones y compromisos a los cuales se llegó en el Comité ;Español ;X;;;Papel;N/A;X;;ACTAS ;Actas de Comité Paritario ;Las actas de comité Paritario de Seguridad y Salud en el Trabajo (COPASST), contienen el registro de todas las acciones que sus miembros, en el ejercicio del cumplimiento de sus funciones ejecutan, todas enfocadas en la promoción y vigilancia del cumplimiento de las normas en temas de seguridad y salud en el trabajo al interior de la Entidad.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
24;Dirección Corporativa ;"Resolución No. 162 del 06 de Abril de 2018 ""Por la cual se conforma el Comité Técnico de Sostenibilidad Contable de la Empresa de Transporte del Tercer Milenio TRANSMILENIO S.A.";;N/A;R-OP-004 ;Acta;Documento que contiene los temas tratados, decisiones y compromisos a los cuales se llegó en el Comité ;Español ;X;X;;Papel;N/A;X;;ACTAS ;Actas de Comité Técnico se Sostenibilidad Contable ;Serie que contiene las actas del Comité Tecnico de Sostenibilidad contable, donde se reflejan las decisiones tomadas frente a politicas, estrategias y procedimientos que garantizan la producción de información contable y financiera con caracteristicas de relevancia representacion fiel. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
25;Dirección Corporativa ;"Resolución No. 081 de 2020 ""Por la cual se determina el objeto, funciones, composición y reglamento del Comité de Contratación de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO ""TRANSMILENIO S.A.""";;N/A;R-OP-004 ;Acta;Documento que contiene los temas tratados, decisiones y compromisos a los cuales se llegó en el Comité ;Español ;X;X;X;Papel /PDF;N/A ;X;;ACTAS ;Actas del Comité de Contratación y Adjudicaciones ;Las actas de Comité de Contratación y adjudicaciones  contienen la sustentación de las actuaciones y desiciones  tomadas por los miembros del Comité para la adquisicion de bienes y servicios, consultorias, conseciones, encargos fiduciarios y fiducia pública, requeridas por TRANSMILENIO S.A., previo estudio correspondiente de conformidad con las normas que lo regulan. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa/ SGDEA;
26;Dirección Corporativa ;"Resolución No. 014 de 2014 ""Por la cual se adopta el Comité Interno de Archivo  de la Empresa del Tercer Milenio  ""TRANSMILENIO S.A.""";;N/A;R-OP-004 ;Acta;Documento que contiene los temas tratados, decisiones y compromisos a los cuales se llegó en el Comité ;Español ;X;X;X;Papel /PDF;N/A ;X;;ACTAS ;Actas del Comité Interno de Archivo ;Las  actas del Comité Interno de Archivo  contienen  la definición de políticas, programas de trabajo y toma de cisiones en los procesos administrativos y técnicos de los archivos de la entidad.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa/ SGDEA;
27;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador
Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER
MILENIO - TRANSMILENIO S.A.´

";;NA ;NA;Comprobante ;Documento en el que queda constancia de la realización de un  ajuste contable.;Español ;X;;;Papel ;N/A ;X;;COMPROBANTES CONTABLES ;Comprobantes de Ajustes;Es el documento que resume los ajustes correspondientes a un periodo contable. Por contener únicamente asientos de ajuste se le denomina comprobante de ajustes y se traslada a la columna de ajustes de la hoja de trabajo, como ajustes ordinarios o como ajustes por inflación.;X;;;Dirección Corporativa  -Profesional Especializado de Contabilidad ;Disponible ;Archivo de gestión Dirección Corporativa;
28;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;P-SE-014;N/A;Comprobante ;Documento en el que queda constancia de la contabilización  de un pago. ;Español ;X;;;Papel;PDF;X;;COMPROBANTES CONTABLES ;Comprobantes de Causación ; Registro contable según el tipo de compra realizada. La contabilización se hace con base a la factura de compra respectiva, es decir, se registran los valores que consten en la factura.;X;;;Dirección Corporativa  -Profesional Especializado de Contabilidad ;Disponible ;Archivo de gestión Dirección Corporativa;
29;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;N/A;N/A;Comprobante ;Documento en el que queda constancia de la realización de un pago;Español ;X;;;Papel;PDF;;;COMPROBANTES CONTABLES ;Comprobantes de Egreso;Documento contable que permite registrar el pago o abono de las diferentes obligaciones que adquiere un ente económico. Estas obligaciones pueden ser cuentas por pagar a proveedores, deudas laborales, cancelación de los diferentes gastos operacionales (como servicios y papelería), transacciones comerciales, anticipos, entre otras.;X;;;Dirección Corporativa  -Profesional Especializado de Contabilidad ;Disponible ;Archivo de gestión Dirección Corporativa;
30;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;N/A;N/A;Comprobante ;Documento en el que queda constancia  de un ingreso a la contabilidad de la empresa. ;Español ;X;;;Papel;PDF;;;COMPROBANTES CONTABLES ;Comprobantes de ingreso ;Son los documentos que registran todas las operaciones que originan movimientos de dinero dentro de una empresa y, junto con los Comprobantes de Egresos, dan constancia de la contabilidad interna.;X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
