upz_id,Estacion,anio,mes,flujo_total_mes,pct_flujo_nocturno,pct_flujo_finde,pct_flujo_pico_am,pct_flujo_pico_pm,concentracion_horaria_gini,ABRIR DOMICILIO,ACCIDENTE CEREBRO VASCULAR,ACCIDENTE DE AVIACIÓN,ACCIDENTE DE TRÁNSITO,ACCIÓN SUBVERSIVA,ACTOS CONTRA EL AMBIENTE,ALARMA,AMENAZA DE SUICIDIO,ANIMAL,ANIMAL PELIGROSO,CAÍDA DE ALTURA,COLAPSO O POSIBILIDAD DE COLAPSO,CONGESTIÓN VEHICULAR,CONVULSIÓN,DAÑOS EN PROPIEDAD PÚBLICA O PRIVADA,DAÑOS EN REDES DE SERVICIOS,DELINCUENTE CAPTURADO POR CIVIL,DELITOS INFORMÁTICOS,DISPAROS,DOLOR TORÁXICO,ELECTROCUCIÓN,ELEMENTO CAÍDO O EN PELIGRO DE CAER,EMBRIAGUEZ,ENFERMO,ESTABLECIMIENTO ILEGAL PARA EL ABORTO,EVENTO NATURAL,EVENTO RESPIRATORIO,EXHIBICIONES O ACTOS OBSCENOS,EXPLOSIÓN,EXTRAVIADO O DESAPARECIDO,FENÓMENO DE REMOCIÓN DE MASA,FUGA DE PRESOS,HABITANTE DE LA CALLE,HALLAZGO DE EXPLOSIVOS,HERIDO,HURTO EFECTUADO,HURTO EN PROCESO,INCENDIO,INCONSCIENTE O PARO CARDIORESPIRATORIO,INDEBIDO USO DE ESTABLECIMIENTO,INFORMACIÓN CONFIDENCIAL,INTENTO DE SUICIDIO,INTENTO O VIOLACIÓN DE DOMICILIO,INTOXICACIÓN,INUNDACIÓN,INVASIÓN DE TERRENO O EDIFICIO,LESIONES PERSONALES,MALTRATO,MANIFESTACIÓN O MOTÍN,MANIOBRAS PELIGROSAS,MATERIALES PELIGROSOS,MENDICIDAD,MENOR EN ESTABLECIMIENTO DE MAYORES,MUERTE NATURAL,MUERTO,NARCÓTICOS,PANDILLAS,PATOLOGÍA GINECOBSTÉTRICA,PERSONA ABANDONADA,PERSONA O VEHÍCULO SOSPECHOSO,PERSONA PIDIENDO AUXILIO,PERSONA TENDIDA EN LA VÍA,PORTE DE ARMAS,QUEMADURAS,QUEMAS,RAPTO,RECONOCIMIENTO,REMISIÓN DE DINERO O ACOMPAÑAMIENTO,RESCATE,RESTOS HUMANOS,RIÑA,RUIDO,SANGRADO VAGINAL,SECUESTRO,SOLICITUD DE APOYO O DESACATO,SUPLANTACIÓN DE PROFESIÓN U OFICIO,SÍNTOMAS GASTROINTESTINALES,TRASTORNO MENTAL,VEHÍCULO ABANDONADO,VEHÍCULO MAL ESTACIONADO,VEHÍCULO RECUPERADO,VERIFICAR SITUACIÓN,VIOLACIÓN DE MEDIDA GUBERNAMENTAL,VIOLENCIA SEXUAL
UPZ27,21 Ángeles,2024,9,142703,0.17975795883758575,0.1924136142898187,0.27595775842133663,0.23720594521488686,0.4340322791625497,1,20,0,228,0,12,40,18,72,32,17,0,8,26,13,36,41,5,11,15,0,19,70,34,0,0,37,7,0,26,0,3,29,4,85,41,83,24,45,3,10,27,9,7,1,9,42,210,2,24,22,1,1,8,1,146,0,3,13,83,15,9,6,0,17,12,1,27,9,0,647,509,1,3,10,4,32,128,19,62,1,267,0,27
UPZ27,21 Ángeles,2024,10,154351,0.18682742580223,0.17238631430959306,0.2847859748236163,0.23863143095930703,0.43609073907306506,1,12,0,300,0,31,24,15,46,36,12,0,7,46,20,20,60,8,16,23,0,27,47,32,0,0,30,11,0,27,0,2,33,1,51,90,102,11,67,0,12,23,7,11,1,4,56,228,2,25,14,3,3,13,3,130,1,5,25,97,15,12,6,0,8,22,1,19,6,0,733,502,0,4,14,2,27,63,12,49,1,208,0,26
UPZ27,21 Ángeles,2024,11,145672,0.19077791202152783,0.23215168323356583,0.27288703388434293,0.23502114339063102,0.42278944020356235,1,19,0,281,0,16,36,4,54,41,9,2,8,41,10,42,22,10,14,20,0,45,35,49,0,0,37,12,0,23,2,2,22,1,47,80,66,13,40,0,8,33,4,8,0,5,62,220,4,19,20,3,5,10,2,125,0,3,17,86,26,6,5,0,6,7,0,12,13,0,699,552,1,4,12,4,38,68,11,58,0,227,0,12
UPZ27,21 Ángeles,2024,12,141096,0.19179140443386064,0.214669444916936,0.25708737313602087,0.23082156829392753,0.40741469165201943,8,16,0,247,0,20,28,11,51,37,14,0,7,43,19,18,31,7,21,21,0,16,52,31,0,0,38,7,0,26,0,0,31,0,61,71,97,52,63,3,6,32,11,10,11,9,48,243,13,13,103,4,3,2,0,111,0,3,15,74,24,15,7,0,12,17,0,10,10,0,777,924,0,6,10,3,16,57,26,72,3,211,0,16
UPZ27,21 Ángeles,2025,1,132392,0.18491298567889297,0.19104628678469998,0.26685902471448425,0.24236358692368118,0.4248154470562169,1,12,0,195,0,12,27,7,47,32,14,0,4,30,8,10,28,3,58,14,0,4,31,37,0,0,38,6,3,38,0,5,24,4,39,61,61,26,36,2,15,31,11,12,2,3,37,170,0,19,30,1,0,3,3,100,0,4,7,60,14,10,7,0,18,11,0,6,4,0,551,412,0,0,2,3,37,44,10,33,5,175,0,12
UPZ27,21 Ángeles,2025,2,144544,0.19463277617887978,0.17219670135045384,0.27610969670135044,0.23862630064201903,0.4279729125156815,3,23,0,265,0,30,24,13,61,27,6,4,7,42,9,19,32,2,15,39,0,29,34,26,0,1,34,6,0,27,0,0,33,1,61,66,88,13,55,4,4,37,2,6,29,1,34,176,1,13,20,2,1,4,4,112,0,6,13,66,13,10,4,3,4,12,28,10,18,0,480,324,0,2,3,1,31,68,15,63,1,205,0,14
UPZ27,21 Ángeles,2025,3,151826,0.1892692951141438,0.21792051427291767,0.2751307417701843,0.23376760238694294,0.42473511344126386,7,26,0,294,0,30,33,14,42,54,29,0,7,41,22,34,49,7,9,27,0,36,60,40,0,0,72,9,0,26,1,2,40,1,54,52,111,46,61,2,5,40,10,12,1,2,61,228,4,11,17,3,0,7,3,140,0,3,8,110,17,9,5,2,16,23,26,17,8,0,773,479,1,5,12,3,29,83,18,61,3,244,0,18
UPZ27,21 Ángeles,2025,4,141791,0.19187395532861748,0.1886509016792321,0.2761881924804818,0.237920601448611,0.427693753482238,8,13,0,221,0,27,14,5,40,15,12,0,10,51,17,10,48,9,16,19,0,21,40,41,0,0,29,7,0,15,0,4,26,1,27,72,90,13,66,0,7,25,4,17,0,3,28,226,0,16,12,1,0,10,1,121,0,5,12,78,29,11,3,0,9,14,12,12,22,0,560,465,2,4,4,3,24,64,18,57,1,215,0,16
UPZ27,21 Ángeles,2025,5,151203,0.19319722492278593,0.20596813555286603,0.2749548620067062,0.2350813145241827,0.42380304403131336,2,23,0,299,2,23,22,14,47,13,11,0,16,49,16,14,69,7,13,33,0,34,45,40,0,0,49,4,0,23,1,2,27,0,62,63,111,10,55,3,1,48,9,10,1,7,58,260,5,22,17,1,0,4,2,148,0,4,9,92,14,13,5,0,10,18,2,14,8,0,721,597,3,7,5,1,37,93,12,56,3,233,0,19
UPZ27,21 Ángeles,2025,6,129818,0.18725446394182624,0.24213129150040827,0.27202699163444205,0.23906546087599562,0.4262852609037267,0,22,0,226,0,13,16,7,36,18,17,5,4,26,15,12,40,2,16,19,1,25,46,41,0,0,32,10,0,26,0,3,22,3,70,74,62,21,42,2,7,22,8,13,1,1,54,189,1,14,24,3,1,1,5,123,2,4,15,85,25,9,4,0,13,1,6,7,5,0,654,523,2,8,6,1,33,76,15,49,2,184,0,10
