upz_id,cod_localidad,localidad,anio,mes,upz_nuse_hurto,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_violencia,upz_nuse_total,poblacion_localidad,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019
UPZ27,11,SUBA,2023,12,141.0,1062.0,1037.0,1050.0,3290.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,1,304.0,1913.0,1524.0,1822.0,5563.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,2,220.0,1775.0,1590.0,1809.0,5394.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,3,287.0,1726.0,1502.0,1853.0,5368.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,4,312.0,2108.0,1731.0,2340.0,6491.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,5,364.0,2370.0,1877.0,2304.0,6915.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,6,290.0,2243.0,1524.0,2285.0,6342.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,7,323.0,2360.0,1593.0,1928.0,6204.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,8,247.0,2023.0,1423.0,1853.0,5546.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,9,288.0,2150.0,1818.0,2079.0,6335.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,10,271.0,2084.0,1875.0,2242.0,6472.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,11,309.0,2319.0,1731.0,2208.0,6567.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ28,11,SUBA,2023,12,282.0,2600.0,1991.0,2691.0,7564.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,1,139.0,462.0,642.0,284.0,1527.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,2,105.0,486.0,742.0,300.0,1633.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,3,93.0,430.0,700.0,279.0,1502.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,4,98.0,518.0,675.0,315.0,1606.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,5,96.0,457.0,764.0,355.0,1672.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,6,85.0,533.0,759.0,350.0,1727.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,7,102.0,535.0,649.0,311.0,1597.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,8,104.0,437.0,624.0,286.0,1451.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,9,109.0,495.0,713.0,320.0,1637.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,10,88.0,590.0,763.0,360.0,1801.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,11,133.0,511.0,785.0,317.0,1746.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ24,11,SUBA,2023,12,113.0,557.0,743.0,389.0,1802.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,1,54.0,192.0,395.0,139.0,780.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,2,55.0,216.0,309.0,133.0,713.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,3,35.0,199.0,255.0,116.0,605.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,4,57.0,215.0,284.0,168.0,724.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,5,39.0,240.0,329.0,132.0,740.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,6,62.0,254.0,289.0,121.0,726.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,7,49.0,226.0,371.0,128.0,774.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,8,48.0,160.0,259.0,123.0,590.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,9,60.0,172.0,286.0,144.0,662.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,10,36.0,167.0,383.0,161.0,747.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,11,54.0,228.0,295.0,151.0,728.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ25,11,SUBA,2023,12,51.0,200.0,334.0,136.0,721.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,1,63.0,226.0,367.0,126.0,782.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,2,64.0,241.0,350.0,160.0,815.0,1241362.0,20751.0,10547.0,91018.0,40.380222
