familia,modelo,n_test,mae,rmse,r2,localidad,skill_vs_persistencia
hurto,red_residual,6,44.1094970703125,52.5091567610324,-0.7477438341902749,Los Mártires,0.09980618223852045
hurto,persistencia,6,49.0,55.97618541248889,-0.9861602662299931,Los Mártires,0.0
hurto,bosque,30,13.779967479994156,17.383203518853087,0.8259245893588497,Puente Aranda,0.25781144631988384
hurto,red_residual,30,14.578296407063801,17.877484578304667,0.8158843850431068,Puente Aranda,0.21481347897322434
hurto,persistencia,30,18.566666666666666,22.833454987510468,0.6996545480032337,Puente Aranda,0.0
hurto,mlp,30,19.35600346260395,21.93872022523207,0.7227315987067113,Puente Aranda,-0.042513651486747905
hurto,bosque,24,15.30032530434764,19.235733911973853,0.7795240030370392,Rafael Uribe Uribe,0.15194501777287917
hurto,red_residual,24,16.06961139043172,20.052799874171175,0.7603961276493343,Rafael Uribe Uribe,0.10930560422549362
hurto,persistencia,24,18.041666666666668,23.138171924333175,0.6809917748644574,Rafael Uribe Uribe,0.0
hurto,mlp,24,21.67859162577263,25.998279408598503,0.5972523572636887,Rafael Uribe Uribe,-0.20158475523912944
hurto,bosque,12,11.466310242501047,13.405062168300258,0.49169702378880586,San Cristóbal,0.23557931716659686
hurto,mlp,12,11.545804768757499,14.6942286141586,0.3892287689829953,San Cristóbal,0.23027968208283345
hurto,red_residual,12,13.024454116821289,15.005452443650219,0.3630825065793435,San Cristóbal,0.1317030588785807
hurto,persistencia,12,15.0,17.13670524536927,0.16930873946608527,San Cristóbal,0.0
hurto,bosque,24,16.597954439507237,19.867032078971405,0.918863666421696,Santa Fe,0.016417514695867386
hurto,persistencia,24,16.875,21.82601658571715,0.9020739234955204,Santa Fe,0.0
hurto,red_residual,24,17.683022836844128,21.76328769139639,0.9026360019815021,Santa Fe,-0.047882834775948346
hurto,mlp,24,21.608062835983645,25.421625839016915,0.8671516889413796,Santa Fe,-0.2804777976879198
hurto,red_residual,36,15.176849471198189,19.54995898846332,0.9390388381042336,Suba,0.04979725049889594
hurto,bosque,36,15.83088882390358,20.834907694029145,0.930761971053419,Suba,0.008848699720819253
hurto,persistencia,36,15.972222222222221,21.53614532722965,0.9260228695878197,Suba,0.0
hurto,mlp,36,20.023899408623507,25.08043828836837,0.8996697769286365,Suba,-0.2536702238442543
hurto,bosque,30,19.87518129444195,25.577632311434854,0.8903065492803134,Teusaquillo,0.13586168285034994
hurto,persistencia,30,23.0,29.55334160463077,0.8535554525098512,Teusaquillo,0.0
hurto,red_residual,30,23.97358856201172,32.492017516401916,0.8229836521753735,Teusaquillo,-0.04232993747877045
hurto,mlp,30,26.027254517446877,35.6097028963263,0.7873836201555349,Teusaquillo,-0.13161976162812516
hurto,bosque,12,17.977095964484494,26.49294198411707,0.6913097087612512,Tunjuelito,0.2155449033679494
hurto,red_residual,12,19.431363423665363,26.41779045312494,0.6930585250896977,Tunjuelito,0.15208595969460237
hurto,persistencia,12,22.916666666666668,30.404221198160407,0.5934346519412612,Tunjuelito,0.0
hurto,mlp,12,24.523268814264394,31.382039349054505,0.5668633643633568,Tunjuelito,-0.07010627553153714
hurto,red_residual,36,14.154553016026815,19.96554361310123,0.8132635618216004,Usaquén,0.1591354643944466
hurto,mlp,36,15.463294825214424,20.623758112231535,0.8007481306383626,Usaquén,0.08138842622488562
hurto,bosque,36,15.703788591336933,20.871465580137862,0.7959330451523372,Usaquén,0.06710166784137028
hurto,persistencia,36,16.833333333333332,23.545464295462278,0.7402944029888512,Usaquén,0.0
hurto,mlp,6,7.524426851185553,9.809894208872551,-0.21091397344067264,Usme,0.47503998712658935
hurto,bosque,6,12.094244434342363,15.208570407921833,-1.9104586154134093,Usme,0.15621550458076539
hurto,red_residual,6,13.435003280639648,15.119392796505469,-1.8764269092138317,Usme,0.06267418972281524
hurto,persistencia,6,14.333333333333334,16.15549442140351,-2.284166375393219,Usme,0.0
violencia,bosque,12,36.836756649562375,52.17090198471769,0.929993978197364,Antonio Nariño,0.35468455504416285
violencia,mlp,12,42.57362540781182,54.47744506864717,0.9236670281128407,Antonio Nariño,0.25418466438869813
violencia,persistencia,12,57.083333333333336,81.58890855992621,0.8287853370523212,Antonio Nariño,0.0
violencia,red_residual,12,57.085679372151695,81.61476889426775,0.8286767838138793,Antonio Nariño,-4.109849024858114e-05
violencia,bosque,18,44.976438426813694,56.5376127362359,0.8981761732148693,Barrios Unidos,0.13414343135545825
violencia,persistencia,18,51.94444444444444,71.27528791009313,0.8381724564186921,Barrios Unidos,0.0
violencia,red_residual,18,51.98584493001302,71.41417752516281,0.837541155870315,Barrios Unidos,-0.0007970146954379143
violencia,mlp,18,56.13192337113638,72.31536078231942,0.8334151140420494,Barrios Unidos,-0.08061456757267904
violencia,red_residual,12,73.61111958821614,107.93695670665629,0.9814174720372405,Bosa,0.0007540327391474255
violencia,persistencia,12,73.66666666666667,108.04782891540826,0.981379276702869,Bosa,0.0
violencia,bosque,12,77.08948529580955,117.81136376874224,0.977861977533174,Bosa,-0.046463601300582136
violencia,mlp,12,84.91395354443232,108.98312677553385,0.981055507093944,Bosa,-0.1526781024131083
violencia,bosque,6,35.78415867790817,43.85743817846847,-0.4474006774276167,Candelaria,0.19283852606222185
violencia,mlp,6,39.882725804813255,56.524578948283505,-1.4042350475555794,Candelaria,0.10038964350045299
violencia,persistencia,6,44.333333333333336,54.49158956511852,-1.2344014548190883,Candelaria,0.0
violencia,red_residual,6,44.40827941894531,54.5050632987841,-1.2355065593812968,Candelaria,-0.00169051320929281
violencia,mlp,10,63.42224725794789,72.60957207286019,0.36312000031361347,Chapinero,0.32886510838150385
violencia,bosque,10,72.75414589624964,86.19076598638344,0.10258910674811317,Chapinero,0.2301148582407445
violencia,persistencia,10,94.5,114.10039439020358,-0.5726937010832209,Chapinero,0.0
violencia,red_residual,10,94.58875732421875,114.19937305509254,-0.5754234136348111,Chapinero,-0.0009392309441136337
violencia,bosque,6,43.38405279957999,55.81412722198141,-0.376502702881383,Ciudad Bolívar,0.37124561160029
violencia,red_residual,6,68.935791015625,87.47028792962112,-2.3807254641128917,Ciudad Bolívar,0.0009305649909420177
violencia,persistencia,6,69.0,87.45665593119067,-2.3796717931093734,Ciudad Bolívar,0.0
violencia,mlp,6,70.11029298886744,78.24695276349118,-1.7053512476991481,Ciudad Bolívar,-0.01609120273720932
violencia,bosque,30,41.24223877150989,62.40110243884884,0.9721352421131535,Engativá,0.26044999214267983
violencia,persistencia,30,55.766666666666666,73.31825602581301,0.9615324079847838,Engativá,0.0
violencia,red_residual,30,55.83983008066813,73.32421570662271,0.9615261540475015,Engativá,-0.0013119560191534596
violencia,mlp,30,68.7013820352506,102.21599298391759,0.9252332585953128,Engativá,-0.23194349136731507
violencia,red_residual,6,15.2375119527181,19.926793702572997,-5.485832968029265,Fontibón,0.006249220474906614
violencia,persistencia,6,15.333333333333334,19.8158185969358,-5.413793103448275,Fontibón,0.0
violencia,bosque,6,25.65689854683815,30.20569814111427,-13.902827226368466,Fontibón,-0.6732759921850966
violencia,mlp,6,33.79669807476201,39.56610672206384,-24.570401470554827,Fontibón,-1.2041324831366529
violencia,bosque,30,67.38661011349329,81.81898851303504,0.9541735812210339,Kennedy,0.4062853734493983
violencia,mlp,30,78.32291364179626,98.50753579317616,0.9335726974186815,Kennedy,0.3099302762837334
violencia,red_residual,30,113.45977121988932,165.04855337394505,0.8135204762439928,Kennedy,0.0003544385912834791
